example | p.shrijith@test.com | 123
example1 | p.shrijith1@test.com | 1234
hello | p.shrijith@test.com | example1
example2 | email2 | test2
testexample1 | p.shrijith@test.com | example2
example | p.shrijith@test.com | test
example | p.shrijith@test.com | data
example | p.shrijith@test.com | 21111331
amazon | p.shrijith@test.com | example
a | p.shrijith@test.com | dad
a | p.shrijith@test.com | dad
example | p.shrijith@test.com | test
d | p.shrijith@test.com | s
amazon | p.shrijith@test.com | ZTv$3h8KHp3%o$u
